grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality
449,9,34,37.63956645309171,47.091678564195526,0.0033900300040841103,0.0,0.012742065824568272,0.1632,0.6099967956542969,0.6099967956542969,0.0,0.25,0.7897774577140808,0.7897774577140808,0.06798188462632888,both,0.6066067656502128,0.662644735955149,s2_low_viirs_high,True,False
450,9,35,37.64615261880115,47.091756615888045,0.0058808098547160625,0.0,0.019470233470201492,0.5856,0.6454976201057434,0.6454976201057434,0.0,0.25,0.8395378589630127,0.8395378589630127,0.09402695298622736,both,0.6396168102510273,0.6223917671757191,s2_low_viirs_high,False,False
451,9,36,37.652738812028005,47.09183428896411,0.02169710025191307,0.0,0.06222221627831459,0.888,0.6617382168769836,0.6617382168769836,0.0,0.25,0.864793598651886,0.864793598651886,0.17238818623299138,both,0.6400411166250706,0.5773287816375494,s2_low_viirs_high,False,False
452,9,37,37.6593250326386,47.091911583419694,0.01398417353630066,0.0,0.03336896747350693,1.0,0.6776379346847534,0.6776379346847534,0.0,0.25,0.8895002007484436,0.8895002007484436,0.14724126107973895,both,0.6636537611484528,0.5770576328039169,s2_low_viirs_high,False,False
453,9,38,37.665911280499266,47.091988499250824,0.0396726094186306,0.003395383944734931,0.06559797376394272,1.0,0.6762090921401978,0.6762090921401978,0.0,0.25,0.8872355818748474,0.8872355818748474,0.22703941226356159,both,0.6365364827215672,0.558075537905097,s2_low_viirs_high,False,False
454,9,39,37.67249755547634,47.092065036453505,0.030969908460974693,0.002053528558462858,0.048664480447769165,0.7392,0.6532429456710815,0.6532429456710815,0.0,0.25,0.8513733148574829,0.8513733148574829,0.19702745117561746,both,0.6222730372101068,0.5872111260470748,s2_low_viirs_high,False,False
455,9,40,37.67908385743615,47.09214119502377,0.019664695486426353,0.0,0.04351526498794556,0.5792,0.6395769119262695,0.6395769119262695,0.0,0.25,0.8316189646720886,0.8316189646720886,0.1587216258902253,both,0.6199122164398432,0.6095585515078902,s2_low_viirs_high,False,False
456,9,41,37.685670186245005,47.09221697495771,0.05503995716571808,0.022962164133787155,0.07448331266641617,0.32,0.5807467103004456,0.5807467103004456,0.0,0.25,0.7487286329269409,0.7487286329269409,0.22121121837311336,both,0.5257067531347275,0.5824947271943092,s2_low_viirs_high,False,False
457,9,42,37.69225654176923,47.09229237625138,0.025240840390324593,0.0,0.04790776968002319,0.0928,0.5815927386283875,0.5815927386283875,0.0,0.25,0.7512829303741455,0.7512829303741455,0.15946609538332107,both,0.5563518982380629,0.638026328766644,s2_low_viirs_high,True,False
458,9,43,37.69884292387514,47.09236739890089,0.022174812853336334,0.0,0.04451066628098488,0.6704,0.586669385433197,0.586669385433197,0.0,0.25,0.7575371265411377,0.7575371265411377,0.15211862558349254,both,0.5644945725798607,0.5570862008059024,s2_low_viirs_high,False,False
459,9,44,37.705429332429055,47.09244204290236,0.029040982946753502,0.0,0.05782514438033104,0.976,0.5751107335090637,0.5751107335090637,0.0,0.25,0.7407779693603516,0.7407779693603516,0.16750401147728858,both,0.5460697505623102,0.49834882539361713,s2_low_viirs_high,False,False
460,9,45,37.71201576729727,47.09251630825194,0.02074466645717621,0.0,0.04349260404706001,1.0,0.5327832102775574,0.5327832102775574,0.0,0.25,0.6821089386940002,0.6821089386940002,0.13451771541785176,both,0.5120385438203812,0.4709269806742668,s2_low_viirs_high,False,False
461,9,46,37.7186022283461,47.09259019494577,0.014253507368266582,0.0,0.0407114252448082,0.6816,0.4387654960155487,0.4387654960155487,0.0,0.5,0.5487986207008362,0.5487986207008362,0.09610386096486409,both,0.4245119886472821,0.41991839205309744,both_low,False,False
462,10,1,37.422106433962796,47.093388083576556,0.30523765087127686,0.3130267262458801,0.09307084232568741,0.8192,0.6819031834602356,0.6819031834602356,0.0,0.25,0.8945785760879517,0.8945785760879517,0.49250714972554643,both,0.37666553258895874,0.40328587281227113,s2_low_viirs_high,False,False
