grid_id,posterior_mean,posterior_median,posterior_sd,ci_2_5,ci_97_5,ci_width,r_hat,theta_mean,theta_sd,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_std,p_viirs_valid_ratio,p_fused,evidence_type,fusion_source
696,0.1549082466764705,0.1547408820488139,0.011817919479221591,0.13011566322568263,0.1793236627945909,0.049207999568908256,1.0008322143217647,-1.6994430889141423,0.09080071506747588,15,5,37.44779586528608,47.11623627575959,0.2480222135782241,0.2076104134321212,1.0,0.2990964651107788,0.0,0.25,0.2728131570617374,both_low,both
697,0.1546516740133695,0.15462458507276167,0.011466555678219898,0.13140693484818067,0.17763565332414172,0.04622871847596105,1.0008322143217647,-1.701306735374288,0.08941353545343374,15,6,37.454384500968295,47.11632538906279,0.1271822452545166,0.1913428008556366,1.0,0.3202401399612427,0.0,0.25,0.2076108716069898,both_low,both
698,0.15488058656797324,0.15468865872488802,0.011725377328286306,0.13081205429722256,0.1803682338335885,0.04955617953636593,1.0008322143217647,-1.6996114219507035,0.09006836688784968,15,7,37.46097316809974,47.11641412351951,0.1011936068534851,0.1638924479484558,1.0,0.3155122101306915,0.0,0.25,0.1855403138087583,both_low,both
699,0.15500009651258237,0.1549743234665203,0.01138671687047021,0.1315658805578914,0.1788319224506293,0.04726604189273789,1.0008322143217647,-1.698530151938992,0.08730716748897208,15,8,37.4675618665466,47.11650247912518,0.0361064448952674,0.0644636303186416,1.0,0.4025035202503204,0.0,0.25,0.1370776661899181,both_low,both
700,0.15588580573209512,0.15532047751053296,0.012319930556448179,0.13330857265865617,0.18427162440156705,0.05096305174291088,1.0008322143217647,-1.692114913570143,0.0926148889503281,15,9,37.474150596175086,47.11659045587521,0.6721676588058472,0.2390480190515518,1.0,0.4665753841400146,0.0,0.25,0.5724988285953491,s2_high_viirs_low,both
701,0.15617152776625914,0.15563179465679491,0.012298238743299269,0.13165747060508906,0.1839072054629259,0.05224973485783685,1.0008322143217647,-1.6899466415788869,0.0927320069469327,15,10,37.48073935685138,47.11667805376505,0.7944707274436951,0.0415635295212268,1.0,0.5273564457893372,0.0,0.25,0.6749833078956486,both_high,both
702,0.15598339438850403,0.15544854333173821,0.011735032205747517,0.1336609217167473,0.182828568748163,0.04916764703141571,1.0008322143217647,-1.6911110609621705,0.08844081388131927,15,11,37.48732814844168,47.116765272790175,0.2416905760765075,0.2568865120410919,1.0,0.6247362494468689,0.0,0.25,0.42143962305375,s2_low_viirs_high,both
703,0.15645850676703243,0.15565682230050215,0.011521003316373457,0.1351918475607649,0.1818096281904057,0.04661778062964078,1.0008322143217647,-1.68738837987409,0.08651902794211039,15,12,37.493916970812165,47.11685211294607,0.5509059429168701,0.30153289437294,1.0,0.6644748449325562,0.0,0.25,0.6091679109767132,both_high,both
704,0.1566371296734398,0.15578677352464515,0.011778846250578187,0.135399456430018,0.18439110186809932,0.04899164543808132,1.0008322143217647,-1.6861288884627743,0.08804453734664569,15,13,37.50050582382903,47.11693857422823,0.6929704546928406,0.2707653343677521,0.9888,0.6687690615653992,0.0,0.25,0.6809917389600417,both_high,both
705,0.15641743681356643,0.15557061965852848,0.011519485824224397,0.1346482994568817,0.18158950930014442,0.04694120984326272,1.0008322143217647,-1.6876811182317215,0.08613322260613585,15,14,37.50709470735844,47.11702465663219,0.1808736473321914,0.2541509568691253,0.6048,0.6994869709014893,0.0,0.25,0.4175614924047951,s2_low_viirs_high,both
706,0.15604275740704449,0.1552999434488131,0.011669461943762314,0.13376854482629488,0.18271188850908762,0.04894334368279274,1.0008322143217647,-1.6906124140739447,0.08756483226330011,15,15,37.51368362126658,47.117110360153504,0.0183657631278038,0.0334834046661853,0.9856,0.7115578651428223,0.0,0.25,0.1768430683375661,s2_low_viirs_high,both
707,0.15604874701755225,0.15555919911701777,0.011366688335745109,0.13434662253681282,0.18127583722934243,0.046929214692529614,1.0008322143217647,-1.6904563659031857,0.08579296515975256,15,16,37.52027256541961,47.11719568478774,0.0280970949679613,0.0531837679445743,1.0,0.7077099084854126,0.0,0.25,0.2092170819211637,s2_low_viirs_high,both
708,0.15623758316414169,0.15575056458742653,0.011505600040285698,0.13473639008334887,0.18170958475603569,0.04697319467268682,1.0008322143217647,-1.6890494543817163,0.08619615572661077,15,17,37.52686153968372,47.11728063053047,0.014941468834877,0.0348915047943592,1.0,0.7162172198295593,0.0,0.25,0.1636396127414,s2_low_viirs_high,both
709,0.1562623757575341,0.1556394746497297,0.012054238000199445,0.1327027478689764,0.18375222467880456,0.05104947680982816,1.0008322143217647,-1.6891292444338426,0.0906586452424987,15,18,37.53345054392504,47.117365197377296,0.0154327526688575,0.0381308235228061,1.0,0.7098247408866882,0.0,0.25,0.1637497489441225,s2_low_viirs_high,both
710,0.15612733727634323,0.1556103224999927,0.011493312701516878,0.1338690930324668,0.18205650074350033,0.048187407711033525,1.0008322143217647,-1.6899272262271967,0.0869788245801181,15,19,37.54003957800975,47.11744938532384,0.0153806991875171,0.0288467817008495,1.0,0.6970025300979614,0.0,0.25,0.1593545319702785,s2_low_viirs_high,both
711,0.15627488767310477,0.15563928478230316,0.011729453439297108,0.13449918739272995,0.18230431409973852,0.047805126707008566,1.0008322143217647,-1.6888781943015652,0.08809626367617658,15,20,37.54662864180399,47.11753319436576,0.0136558320373296,0.0287083890289068,1.0,0.7027358412742615,0.0,0.25,0.1531975219517826,s2_low_viirs_high,both
712,0.15659612659083375,0.15570751435905164,0.012066944113081476,0.13448349839626247,0.18346579756169465,0.048982299165432175,1.0008322143217647,-1.6865651259479164,0.09008412589779331,15,21,37.55321773517394,47.11761662449872,0.0176147669553756,0.040086880326271,0.9984,0.7117774486541748,0.0,0.25,0.1738466542761022,s2_low_viirs_high,both
713,0.15609938671968074,0.1555865412020106,0.011962883312171562,0.13345712901508636,0.18251621980798075,0.04905909079289439,1.0008322143217647,-1.6903428047756976,0.09033244590917226,15,22,37.55980685798573,47.1176996757184,0.024271510541439,0.0553335100412368,0.9536,0.7106785774230957,0.0,0.25,0.1981973024256447,s2_low_viirs_high,both
714,0.15628234421223242,0.15563245495988332,0.011625808314132662,0.13330913038655054,0.1817142596158724,0.04840512922932186,1.0008322143217647,-1.6887855397328635,0.08753956372352949,15,23,37.5663960101055,47.117782348020505,0.0124425962567329,0.0295651424676179,1.0,0.7135683298110962,0.0,0.25,0.1505024960534141,s2_low_viirs_high,both
715,0.15642446865150067,0.155924864587504,0.012338503446120365,0.13282211152965642,0.18449143670310575,0.051669325173449326,1.0008322143217647,-1.6880303973537412,0.09277009271295684,15,24,37.5729851913994,47.11786464140073,0.0204111766070127,0.0436793304979801,0.3936,0.6875761151313782,0.0,0.25,0.176372618465966,s2_low_viirs_high,both
716,0.1558498287730919,0.15532912884371775,0.011457865779400113,0.1341796284875444,0.18053467420854633,0.046355045721001936,1.0008322143217647,-1.6920241285528177,0.08679027922282008,15,25,37.57957440173355,47.11794655585484,0.0119969174265861,0.041033249348402,0.44,0.6602582335472107,0.0,0.25,0.1331608729894219,s2_low_viirs_high,both
717,0.15606542089071834,0.15551529265302133,0.01125083476812628,0.13555291392013522,0.18187529665115093,0.046322382731015715,1.0008322143217647,-1.6902756929755804,0.08486794724986156,15,26,37.5861636409741,47.11802809137861,0.0313199162483215,0.0641540065407753,1.0,0.6707891225814819,0.0,0.25,0.2042464860365428,s2_low_viirs_high,both
718,0.1559854638333106,0.15545891857777527,0.011298832211119006,0.1347517704816677,0.18149376434856734,0.046741993866899645,1.0008322143217647,-1.6908934582672044,0.08500532216264489,15,27,37.59275290898717,47.1181092479678,0.0149857234209775,0.0364271104335784,1.0,0.687839686870575,0.0,0.25,0.1547580980517799,s2_low_viirs_high,both
719,0.15602032377561595,0.15543209996232832,0.011709678530472062,0.13461228103875106,0.1831151397344364,0.04850285869568535,1.0008322143217647,-1.6908013621819216,0.08788991169633124,15,28,37.5993422056389,47.11819002561822,0.0134340366348624,0.0293946415185928,1.0,0.6587051153182983,0.0,0.25,0.1394993077745253,s2_low_viirs_high,both
720,0.15613777158662526,0.1555396797249969,0.011537880365860993,0.13380597337935607,0.18242216648571824,0.04861619310636217,1.0008322143217647,-1.6898777011646573,0.08751388624496387,15,29,37.60593153079539,47.11827042432568,0.0373850390315055,0.062627762556076,1.0,0.683054506778717,0.0,0.25,0.224389161282042,s2_low_viirs_high,both
721,0.15624060534399756,0.15547389134671918,0.011928591048650834,0.13440638248225073,0.1834619610724848,0.04905557859023407,1.0008322143217647,-1.6892074167022473,0.08918097069985138,15,30,37.61252088432277,47.118350444086026,0.078279934823513,0.0974019393324852,1.0,0.7249572277069092,0.0,0.25,0.3211739336574024,s2_low_viirs_high,both
722,0.15614799487829797,0.15550039437158877,0.011873480987246448,0.13337639944932203,0.18279057689289374,0.04941417744357171,1.0008322143217647,-1.6899209643579574,0.08940991369620618,15,31,37.61911026608715,47.11843008489511,0.0295670628547668,0.0502816587686538,1.0,0.7158538699150085,0.0,0.25,0.216947059709388,s2_low_viirs_high,both
723,0.1561139085790981,0.15542746260487045,0.012022537062780654,0.13348884073135744,0.1823581613156261,0.048869320584268655,1.0008322143217647,-1.6902288884569425,0.09015437114439313,15,32,37.62569967595464,47.11850934674882,0.027023572474718,0.0476739220321178,1.0,0.7151502966880798,0.0,0.25,0.2089014999735387,s2_low_viirs_high,both
724,0.1564223244151819,0.15559809236020658,0.012115535171245764,0.13400972066784442,0.18396912833813808,0.049959407670293665,1.0008322143217647,-1.687912066200352,0.09057032519477715,15,33,37.63228911379136,47.11858822964306,0.074510172009468,0.0868769660592079,1.0,0.7200978994369507,0.0,0.25,0.3127658776908096,s2_low_viirs_high,both
725,0.15639412157188454,0.15570244255494084,0.011834091172368617,0.13501027788817999,0.18190776431013275,0.046897486421952767,1.0008322143217647,-1.6880076710915481,0.08870480406564586,15,34,37.6388785794634,47.11866673357373,0.0792587772011756,0.0852011516690254,1.0,0.7057721614837646,0.0,0.25,0.3124346802542272,s2_low_viirs_high,both
726,0.15604390190278047,0.15562831220641066,0.011453189531341473,0.13403400144961236,0.180148734744136,0.04611473329452365,1.0008322143217647,-1.6905289544469415,0.08641468485282339,15,35,37.645468072836856,47.11874485853679,0.0314065366983413,0.0495377331972122,1.0,0.7103827595710754,0.0,0.25,0.2199783400262019,s2_low_viirs_high,both
727,0.15628264757284413,0.15559764614986685,0.011758062543886602,0.13381663168094846,0.18314194148690263,0.049325309805954176,1.0008322143217647,-1.6888415735327749,0.08848632792216285,15,36,37.65205759377784,47.11882260452818,0.0417428091168403,0.0595690719783306,1.0,0.7111138701438904,0.0,0.25,0.2466806759995622,s2_low_viirs_high,both
728,0.15609723422323687,0.15559445275830477,0.01142593531018359,0.13430141387118244,0.18173622893241662,0.047434815061234176,1.0008322143217647,-1.6901181570947965,0.08632669772227473,15,37,37.65864714215243,47.11889997154386,0.0142417727038264,0.0247646588832139,1.0,0.7011682987213135,0.0,0.25,0.1554890794482349,s2_low_viirs_high,both
729,0.15601654544360583,0.15547474752999413,0.01194743800430966,0.13287599352381202,0.182994131954028,0.05011813843021598,1.0008322143217647,-1.6909709638777686,0.09030470764875224,15,38,37.66523671782673,47.11897695957987,0.009105765260756,0.0217404291033744,1.0,0.6993348002433777,0.0,0.25,0.127551446830913,s2_low_viirs_high,both
730,0.15593335131566138,0.15534920221171772,0.011845951904373589,0.1328172582891149,0.18092959977736534,0.04811234148825044,1.0008322143217647,-1.6915427483416612,0.08928105101495083,15,39,37.67182632066681,47.11905356863218,0.0156392622739076,0.0286491736769676,1.0,0.7000225186347961,0.0,0.25,0.1614604689013099,s2_low_viirs_high,both
731,0.15584542505286061,0.15537269995777309,0.01174569104677532,0.1334002964719111,0.1813364529428721,0.047936156470961,1.0008322143217647,-1.692178376075943,0.08881121951746634,15,40,37.67841595053877,47.11912979869686,0.0115381954237818,0.0223426036536693,1.0,0.681657612323761,0.0,0.25,0.1365148189890912,s2_low_viirs_high,both
732,0.15599222924977912,0.15556412125252062,0.011536575478728009,0.13334955923223127,0.18174982801069525,0.048400268778463984,1.0008322143217647,-1.6909628445404228,0.08710375384179943,15,41,37.68500560730866,47.11920564976996,0.0138826891779899,0.0322752557694911,1.0,0.6618667244911194,0.0,0.25,0.1423686802845675,s2_low_viirs_high,both
733,0.15606039884717576,0.15540335571645092,0.011988817687074492,0.1332876074742012,0.1812065523269042,0.04791894485270298,1.0008322143217647,-1.6906440124865383,0.09038117741334756,15,42,37.69159529084259,47.11928112184754,0.1054297015070915,0.2255001366138458,1.0,0.6148821115493774,0.0,0.25,0.3025447797067963,s2_low_viirs_high,both
734,0.15608421136835549,0.15536324937124113,0.012032959619467952,0.13408385703721842,0.18324801366210733,0.049164156624888905,1.0008322143217647,-1.690458929932313,0.09023981292863867,15,43,37.69818500100661,47.1193562149257,0.2845725417137146,0.3235286772251129,1.0,0.5976412296295166,0.0,0.25,0.4345962179637272,s2_low_viirs_high,both
735,0.15515397009296755,0.15486732666363864,0.011702491180333974,0.13159374803931653,0.18020979550139207,0.04861604746207554,1.0008322143217647,-1.6974834649912587,0.08939967897093969,15,44,37.7047747376668,47.11943092900056,0.0011354201706126,0.0073848403990268,1.0,0.5260812044143677,0.0,0.25,0.034303625566518,s2_low_viirs_high,both
736,0.15494379437760772,0.15488624020624775,0.011133263489381536,0.13238666407562982,0.17919754727663173,0.04681088320100191,1.0008322143217647,-1.698851769617391,0.08546583170068461,15,45,37.71136450068921,47.119505264068245,0.0053190472535789,0.0240733008831739,1.0,0.4765220880508423,0.0,0.25,0.0652194354252594,both_low,both
737,0.15509156050486456,0.1549082677430561,0.011780566454233612,0.13031058082692376,0.18017156779475654,0.04986098696783278,1.0008322143217647,-1.6980157645407328,0.09034312099566723,15,46,37.71795428993991,47.11957922012491,0.0122101958841085,0.0543165169656276,0.8,0.4502471089363098,0.0,0.5,0.0914186052254952,both_low,both
738,0.15392001171130995,0.15423160984566003,0.011438971745080257,0.13049865412710174,0.17701268197467487,0.046514027847573136,1.0008322143217647,-1.706928058630001,0.08951527125524127,16,1,37.42130858456212,47.12037361278744,0.0280643980950117,0.0841235890984535,0.6976,0.1517509073019027,0.0,0.25,0.0670532630714233,both_low,both
739,0.15374332817118244,0.15415751059815228,0.011561315872197582,0.12945640173432374,0.1756146232148456,0.04615822148052187,1.0008322143217647,-1.7083522320425886,0.09056209941263015,16,2,37.42789764788991,47.12046425560328,0.3313808739185333,0.3129872977733612,1.0,0.116737425327301,0.0,0.25,0.2037822367139962,both_low,both
740,0.1534841360871557,0.15407547000665228,0.011222551258419401,0.1283224229341726,0.17488850758993058,0.04656608465575798,1.0008322143217647,-1.7102056462678386,0.08825142780700317,16,3,37.43448674321176,47.12055451953198,0.1855426728725433,0.2335170805454254,1.0,0.1116371974349021,0.0,0.25,0.1447133821786834,both_low,both
741,0.15428779541662457,0.15442432605614365,0.011154217505791748,0.13110223079985,0.1772439937652921,0.04614176296544209,1.0008322143217647,-1.7039249751005914,0.08637430065902212,16,4,37.44107587039387,47.120644404568914,0.460722953081131,0.1372926533222198,1.0,0.178452119231224,0.0,0.25,0.301081905478789,both_low,both
742,0.15406657743182256,0.15433584359031002,0.011728375054352745,0.12871097152430602,0.17746876547404625,0.048757793949740225,1.0008322143217647,-1.7059047669464054,0.09103588713106099,16,5,37.44766502930239,47.12073391070943,0.1142901107668876,0.1555493772029876,1.0,0.2039015889167785,0.0,0.25,0.1538306264788293,both_low,both
743,0.15431645398650115,0.15443859988664627,0.011491265776913452,0.12966002534863047,0.1780255343271734,0.04836550897854294,1.0008322143217647,-1.7038584958592216,0.08893726072013312,16,6,37.4542542198035,47.12082303794887,0.0517797730863094,0.0693084299564361,1.0,0.2329619228839874,0.0,0.25,0.1140903484039229,both_low,both
744,0.15509569176646304,0.1547620790052614,0.01176762155439735,0.13101421864963317,0.1791537523961985,0.04813953374656532,1.0008322143217647,-1.6979481278595636,0.08969800742275844,16,7,37.46084344176337,47.12091178628264,0.32551109790802,0.1782074123620987,1.0,0.3231579065322876,0.0,0.25,0.3243333924853365,both_low,both
745,0.15540287250322332,0.1550914224870602,0.011065393210568436,0.13349331824310534,0.1783483307337468,0.04485501249064147,1.0008322143217647,-1.6952743938350285,0.08414999355234368,16,8,37.46743269504816,47.12100015570615,0.0189726259559392,0.1044709011912345,1.0,0.4707890152931213,0.0,0.25,0.1159566019583798,both_low,both
746,0.15580222670837532,0.15542025035173224,0.011352702126686896,0.13385885931918312,0.17953689941497963,0.04567804009579651,1.0008322143217647,-1.692336786485794,0.08590898825852816,16,9,37.47402197952403,47.12108814621482,0.3848502337932586,0.3835700452327728,1.0,0.5148716568946838,0.0,0.25,0.4489896731731915,s2_low_viirs_high,both
747,0.15523155588965337,0.1549875781640972,0.011862168343788273,0.13211654051817617,0.18091326921292183,0.04879672869474566,1.0008322143217647,-1.6969369555365947,0.09007430156213911,16,10,37.48061129505713,47.12117575780408,0.3777047395706177,0.3692170679569244,1.0,0.4232617020606994,0.0,0.25,0.4002676754925322,both_low,both
748,0.15577614898075443,0.15545465317034177,0.01152483622028869,0.133012394627942,0.18080420887941073,0.04779181425146872,1.0008322143217647,-1.6926202806944375,0.08736053613561248,16,11,37.48720064151361,47.12126299046943,0.2747167348861694,0.2883068919181824,1.0,0.5446667671203613,0.0,0.25,0.4023125778741273,s2_low_viirs_high,both
749,0.15622673944552656,0.1556848924882019,0.011508189678474065,0.13501978129856282,0.18239582064332155,0.04737603934475873,1.0008322143217647,-1.689140539231858,0.08639485033871068,16,12,37.49379001875962,47.12134984420634,0.1773217320442199,0.2543248236179352,1.0,0.6467970013618469,0.0,0.25,0.3858465784644012,s2_low_viirs_high,both
750,0.15619924165589136,0.15542056715406719,0.011555482568611847,0.13492327827996684,0.18253626810308224,0.047612989823115404,1.0008322143217647,-1.689362537833703,0.08654664751326095,16,13,37.5003794266613,47.12143631901032,0.2676829695701599,0.3283680975437164,0.6256,0.6693843603134155,0.0,0.25,0.4624448311233859,s2_low_viirs_high,both
751,0.1562753896179084,0.15562682548275455,0.011781801148597226,0.1333481654465902,0.1816233465593637,0.04827518111277351,1.0008322143217647,-1.6889076210204779,0.0886733457502843,16,14,37.50696886508479,47.121522414876885,0.019720060750842,0.0394583046436309,0.3712,0.6961155533790588,0.0,0.25,0.1767291663271168,s2_low_viirs_high,both
752,0.1563847573196805,0.15566693560665434,0.011855108685604777,0.13389785855931663,0.18432133932433897,0.050423480765022344,1.0008322143217647,-1.6881066908596403,0.08915447004362903,16,15,37.51355833389621,47.12160813180159,0.0170788094401359,0.034789428114891,1.0,0.7084972858428955,0.0,0.25,0.1704704484355736,s2_low_viirs_high,both
