grid_id,bayes_mean,bayes_ci_lower,bayes_ci_upper,ds_belief,ds_plausibility,ds_uncertainty_width,conflict_k,consistency_label,high_uncertainty_flag,divergence_reason,jsd_s2_viirs,fusion_suppression_ratio,p_s2_only,p_viirs_only,p_both
360,0.1558809516385092,0.1332946043229241,0.181812960235134,0.2917322292923927,0.8167322292923928,0.5250000000000001,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1563596106952043,0.464850672764236,0.0527755129723643,0.5338483305188928,0.1558809516385092
361,0.1552753065073929,0.1338727175053972,0.1790718360944171,0.2302793823182582,0.7552793823182583,0.5250000000000001,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1417259396958097,0.4727190859874431,0.0496232840392296,0.4979680705868834,0.1552753065073929
362,0.1547528764083697,0.1308079446044573,0.1790536050176898,0.1331275094173312,0.4397938367831777,0.3066663273658465,0.0866208005513375,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss",0.1215329796143871,0.4552566877674668,0.0545392376089429,0.4647786996532951,0.1547528764083697
363,0.1547379123443203,0.1311678687438005,0.1796261624741193,0.0812365334294029,0.2738081888354665,0.19257165540606358,0.1070810504002957,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1193097448354779,0.4748702967103939,0.0483534490295663,0.4472667474251245,0.1547379123443203
364,0.154391815933047,0.1313670447636222,0.175986420770312,0.0739351023336584,0.2796508957906237,0.20571579345696528,0.103508428686042,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1241313665785832,0.4850486887756973,0.0447063519238173,0.4502273455510545,0.154391815933047
365,0.1549007363903659,0.132091318042857,0.1800850057829811,0.080788533963068,0.2999203248062939,0.21913179084322587,0.1170258520549476,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1441097102313457,0.5171322111127787,0.0346320836385005,0.4703384642494904,0.1549007363903659
366,0.1551797330386975,0.1327504605695515,0.1784044795841693,0.1140167557500133,0.3463438792136383,0.232327123463625,0.1442645256902934,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1521648873932515,0.5026826939446328,0.0397692795041682,0.4983894207900434,0.1551797330386975
367,0.155194478161019,0.1317932206391481,0.1795672998975047,0.0821676489426865,0.2488040652969872,0.1666364163543007,0.1697143115014071,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1542796920844816,0.5120291373130075,0.0366623347884756,0.4957105222432983,0.155194478161019
368,0.1548736170069536,0.1313834020909677,0.179299902456901,0.0469341857766504,0.1565727361988277,0.1096385504221773,0.1577625504158878,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1452579496934727,0.5147218291492535,0.0354163068137801,0.4745214484188743,0.1548736170069536
369,0.1550532108869879,0.1322077468185329,0.1786547233293864,0.1009722547380437,0.253219722127141,0.15224746738909728,0.1632608237670001,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.139143625044759,0.5033750803311944,0.0394039209116371,0.4708325451816785,0.1550532108869879
370,0.1547184288807506,0.1305367801183315,0.1807290501988661,0.1891933864084019,0.4335451137914997,0.2443517273830978,0.1139398223972499,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.0924048897521147,0.3857176791720682,0.0748786924236588,0.4352083607772677,0.1547184288807506
371,0.1551973269935707,0.1310565833248472,0.1801474486253155,0.1467072666031688,0.3026127176180969,0.1559054510149281,0.1570918552978839,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1230991917829845,0.4388079647941653,0.0600573673182615,0.4790105776456553,0.1551973269935707
372,0.1554641888923557,0.1324058760816458,0.179524319828687,0.3119340163641882,0.4634142492668207,0.15148023290263246,0.1742407381689787,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1059460007252899,0.360463081294707,0.0825363775085334,0.4810077774041328,0.1554641888923557
373,0.155036747169785,0.1319331951624186,0.1800830960184429,0.2212825800328845,0.3422993550228493,0.1210167749899648,0.1638653520974732,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.101139635229296,0.3897433206760061,0.0741118623613533,0.454977874168593,0.155036747169785
374,0.1546954000400704,0.1301397725075893,0.1779216960490437,0.1813568515793389,0.3284262707908829,0.14706941921154398,0.1408760666161902,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.0983041497925131,0.4039488243088371,0.0697344328995848,0.440301384047387,0.1546954000400704
375,0.1540871120869444,0.1283716562410812,0.1772343486502161,0.070555659386618,0.198057787143257,0.127502127756639,0.0994311288791179,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; S2 low structural damage, VIIRS high functional loss",0.1013505242897692,0.4587107655442972,0.0527402540319079,0.4150151548491883,0.1540871120869444
