grid_id,p_s2_only,p_viirs_only,p_both,kl_s2_vs_neutral_prior,kl_viirs_vs_neutral_prior,kl_both_vs_neutral_prior,kl_s2_vs_s2_global,kl_viirs_vs_viirs_global,kl_both_vs_both_global,kl_s2_vs_viirs,kl_viirs_vs_s2,jsd_s2_viirs,abs_diff_s2_viirs,best_single_sensor_kl,fusion_kl_loss,fusion_suppression_ratio,conflict_rank
40,0.048704429869817024,0.4230622581618847,0.1542514344672933,0.4984644793284448,0.011885999732961505,0.26313388768945134,3.116324840345716e-05,0.012877049916084321,5.10859100650695e-06,0.3704470620381985,0.6260335103246149,0.10831616331900223,0.37435782829206765,0.4984644793284448,0.23533059163899345,0.4721110558490388,2
41,0.05124941023224404,0.3386771321774608,0.1529226047121172,0.49096942881403577,0.05299305495598153,0.2654018587106053,7.103226125343659e-06,0.055049243465092795,2.3640027810738207e-05,0.24563119870135636,0.40086471585625216,0.07217431311347297,0.28742772194521676,0.49096942881403577,0.22556757010343048,0.45943302549061277,2
42,0.05091691008893804,0.3715376486713244,0.1533694237301768,0.4919409503525868,0.03337820607664488,0.26463773705353655,2.5443807388656143e-06,0.03501961775013404,1.589245278563623e-05,0.29003617279428495,0.4793495062284131,0.08509058885958104,0.3206207385823863,0.4919409503525868,0.22730321329905023,0.4620538565373266,2
43,0.05179852274597824,0.42274118078121536,0.1541185392433839,0.48936996610215355,0.011985813951833388,0.26336009497723,1.9603588608786042e-05,0.012980916885008631,6.351186304034192e-06,0.3618241632929986,0.6010223382125046,0.10544316594726794,0.3709426580352371,0.48936996610215355,0.22600987112492354,0.46183845920316474,2
44,0.05165411430683567,0.42918956038869327,0.1541874139833965,0.4897900035735441,0.010062030417869253,0.26324284309755586,1.5718702190359963e-05,0.01097573966726055,5.690288990746299e-06,0.37207053624815206,0.6189565954260781,0.10834452019275259,0.37753544608185763,0.4897900035735441,0.22654716047598822,0.46253937161453557,2
45,0.050341975289756626,0.41622049393265864,0.1541216890754426,0.49362624021336055,0.014104448863628313,0.2633547319310773,6.781246905370256e-08,0.01518185816766153,6.3201677414758545e-06,0.35574208825376685,0.5951595407375081,0.10392896191882384,0.365878518642902,0.49362624021336055,0.23027150828228327,0.46648960189546,2
46,0.04912891378418267,0.4140601363137268,0.1540147263765044,0.49720482902861235,0.0148449242950916,0.26353689404316594,1.7618944164758156e-05,0.015949602382229866,7.416098776144705e-06,0.35565361565205206,0.598906039931188,0.10407355349512576,0.36493122252954413,0.49720482902861235,0.2336679349854464,0.46996312453755285,2
47,0.049482100130676256,0.5038465687338515,0.1555303899431452,0.496159694431292,2.9592473954477387e-05,0.26096382332959933,9.290711074151831e-06,9.550720325826644e-07,5.676402092981555e-08,0.5031212165158789,0.8466968325268809,0.14472270890769243,0.4543644686031752,0.496159694431292,0.23519587110169266,0.47403260228801697,2
48,0.10087210172455251,0.3793886307678028,0.1540277317553796,0.36615221829630046,0.029383142118420136,0.2635147406310818,0.020861215680575466,0.03092545597306924,7.278158528946799e-06,0.19969884283241632,0.27250585555142504,0.05585065165276137,0.2785165290432503,0.36615221829630046,0.10263747766521863,0.2803136852284794,2
49,0.09495535498026722,0.3920083540574702,0.1540266592894996,0.37929197438774587,0.02350920445273158,0.2635165674244523,0.01663189524651628,0.024892227783341214,7.2894844224253e-06,0.22541274656527813,0.3139462203971889,0.0633136756011969,0.29705299907720295,0.37929197438774587,0.11577540696329358,0.305240856071839,2
