grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality,p_s2_clipped,u_s2,m_s2_D,m_s2_N,m_s2_U,p_viirs_clipped,u_viirs,m_viirs_D,m_viirs_N,m_viirs_U,conflict_k,belief_damage,belief_no_damage,uncertainty_ds,plausibility_damage,plausibility_no_damage,ds_damage_mid,ds_interval_width,conflict_class,ds_decision_class,ds_source
1077,23,18,37.5324607267044,47.153347583091154,0.013768820092082024,0.0,0.03563778102397919,1.0,0.6861191987991333,0.6861191987991333,0.0,0.25,0.9014082551002502,0.9014082551002502,0.14871401282980132,both,0.6723503787070513,0.5831452650949358,s2_low_viirs_high,False,False,0.013768820092082,0.17375852068265274,0.011376370281336244,0.814865109036011,0.17375852068265274,0.6861191987991333,0.525,0.3259066194295883,0.1490933805704117,0.525,0.26726607448091444,0.09049571548535247,0.7850072192344122,0.12449706528023534,0.2149927807655878,0.9095042845146475,0.15274424812547013,0.12449706528023534,medium_conflict,likely_no_damage,both
1078,23,19,37.53905420405817,47.153431876431696,0.01931130141019821,0.0,0.04639146849513054,1.0,0.6720234751701355,0.6720234751701355,0.0,0.25,0.8794451355934143,0.8794451355934143,0.1672690961886411,both,0.6527121737599373,0.569398521631956,s2_low_viirs_high,False,False,0.0193113014101982,0.18092764566342034,0.015817353111354352,0.8032550012252253,0.18092764566342034,0.6720234751701355,0.525,0.31921115070581435,0.15578884929418563,0.525,0.2588721204914022,0.09594472128766542,0.7758897939160043,0.12816548479633028,0.22411020608399568,0.9040552787123346,0.16002746368583054,0.12816548479633028,medium_conflict,likely_no_damage,both
1079,23,20,37.54564771119369,47.15351579039359,0.009391158819198608,0.0,0.031751178205013275,1.0,0.6956939101219177,0.6956939101219177,0.0,0.25,0.9166280031204224,0.9166280031204224,0.12832643957756315,both,0.6863027513027191,0.5929119259119033,s2_low_viirs_high,False,False,0.0093911588191986,0.17116745213667545,0.007783698091505506,0.821048849771819,0.17116745213667545,0.6956939101219177,0.525,0.33045460730791093,0.14454539269208908,0.525,0.27244447292919177,0.0868960116742264,0.7895905119955899,0.12351347633018371,0.21040948800441012,0.9131039883257737,0.14865274983931825,0.12351347633018371,medium_conflict,likely_no_damage,both
1080,23,21,37.55224124797679,47.153599324972504,0.003244680818170309,0.0,0.012230314314365387,0.7904,0.7029233574867249,0.7029233574867249,0.0,0.25,0.9279378056526184,0.9279378056526184,0.08068209425693808,both,0.6996786766685545,0.6337150736679882,s2_low_viirs_high,False,False,0.0032446808181703,0.24199354287624353,0.0024594890114786805,0.7555469681122778,0.24199354287624353,0.7029233574867249,0.525,0.3338885948061943,0.1411114051938057,0.525,0.2526155774435574,0.11093529453093494,0.7190764020261562,0.16998830344290897,0.2809235979738439,0.8890647054690651,0.19592944625238942,0.16998830344290897,medium_conflict,likely_no_damage,both
1081,23,22,37.5588348142733,47.15368248016408,0.009002817794680595,0.0,0.02642291784286499,0.1936,0.7066414952278137,0.7066414952278137,0.0,0.25,0.9340115189552307,0.9340115189552307,0.12886596463941524,both,0.6976386774331331,0.7218070742031932,s2_low_viirs_high,True,False,0.0090028177946805,0.4901752785619099,0.004589859074330867,0.5052348623637593,0.4901752785619099,0.7066414952278137,0.525,0.33565471023321153,0.13934528976678848,0.525,0.1702240365691255,0.20304266735348322,0.48682299206984997,0.31013434057666683,0.5131770079301501,0.7969573326465168,0.35810983764181664,0.31013434057666683,low_conflict,insufficient_evidence,both
1082,23,23,37.56542840994902,47.15376525596403,0.016774918884038925,0.0,0.03347070887684822,0.104,0.7229174375534058,0.7229174375534058,0.0,0.25,0.9609060287475586,0.9609060287475586,0.17422326089389992,both,0.7061425186693668,0.7411997630685567,s2_low_viirs_high,True,False,0.0167749188840389,0.5307138059178989,0.007872237839126583,0.46141395624297454,0.5307138059178989,0.7229174375534058,0.525,0.34338578283786775,0.13161421716213226,0.525,0.15947909099732221,0.22495063846888239,0.4435587999964858,0.3314905615346319,0.5564412000035143,0.7750493615311177,0.39069591923619834,0.3314905615346319,low_conflict,insufficient_evidence,both
1083,23,24,37.57202203486979,47.15384765236808,0.011688115075230598,0.0,0.043861936777830124,0.2608,0.7149773240089417,0.7149773240089417,0.0,0.25,0.9476473927497864,0.9476473927497864,0.14693168796251072,both,0.703289208933711,0.7156824462535977,s2_low_viirs_high,False,False,0.0116881150752305,0.47492129118522014,0.006137180372180595,0.5189415284425993,0.47492129118522014,0.7149773240089417,0.525,0.33961422890424725,0.1353857710957527,0.525,0.17707081392546625,0.20244308306271247,0.4945737659062849,0.3029831510310027,0.5054262340937152,0.7975569169372876,0.3539346585782138,0.3029831510310027,low_conflict,insufficient_evidence,both
1084,23,25,37.57861568890141,47.15392966937195,0.010032403282821178,0.0,0.02376585453748703,0.9968,0.7129136323928833,0.7129136323928833,0.0,0.25,0.9442534446716309,0.9442534446716309,0.13691682674614444,both,0.7028812291100621,0.6049968603770435,s2_low_viirs_high,False,False,0.0100324032828211,0.16712390302499133,0.008355748889475302,0.8245203480855333,0.16712390302499133,0.7129136323928833,0.525,0.33863397538661955,0.13636602461338043,0.525,0.2803500435180889,0.08866830285959242,0.7894112435951208,0.12192045354528673,0.21058875640487915,0.9113316971404075,0.14962852963223577,0.12192045354528673,medium_conflict,likely_no_damage,both
1085,23,26,37.58520937190969,47.15401130697136,0.006027533207088709,0.0,0.017849331721663475,1.0,0.7038456201553345,0.7038456201553345,0.0,0.25,0.9295254945755005,0.9295254945755005,0.1071827349976875,both,0.6978180869482458,0.600972660863772,s2_low_viirs_high,False,False,0.0060275332070887,0.16189955448110893,0.00505167826624095,0.8330487672526501,0.16189955448110893,0.7038456201553345,0.525,0.3343266695737839,0.14067333042621613,0.525,0.2792210563540786,0.08111832515484511,0.8009574945512081,0.11792418029394687,0.19904250544879198,0.918881674845155,0.14008041530181856,0.11792418029394687,medium_conflict,likely_no_damage,both
1086,23,27,37.59180308376043,47.15409256516214,0.013422141782939434,0.0,0.03260008245706558,1.0,0.7046881914138794,0.7046881914138794,0.0,0.25,0.930809497833252,0.930809497833252,0.15267065430133356,both,0.69126604963094,0.596386234741658,s2_low_viirs_high,False,False,0.0134221417829394,0.17173338830471033,0.01111711189624899,0.8171494997990407,0.17173338830471033,0.7046881914138794,0.525,0.3347268909215927,0.1402731090784073,0.525,0.2750813433355269,0.09248135989454315,0.7831460252870976,0.12437261481835925,0.2168539747129024,0.9075186401054569,0.15466766730372278,0.12437261481835925,medium_conflict,likely_no_damage,both
