grid_id,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_median,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_median,p_viirs_std,p_viirs_valid_ratio,viirs_loss_rate_mean,viirs_loss_rate_median,p_fused,fusion_source,disagreement,uncertainty,evidence_type,p_s2_low_quality,p_viirs_low_quality,p_weighted_best,weighted_best_s2_version,weighted_best_w_viirs
202,4,17,37.52822551608397,47.06780459876258,,,,0.0,0.6612008213996887,0.6612008213996887,0.0,0.25,0.8636424541473389,0.8636424541473389,0.6612008213996887,viirs_only,,0.2625,single_source,True,False,0.5719667124516165,s2_original,0.9500000000000001
203,4,18,37.53480842491223,47.067889020272055,,,,0.0,0.6276758909225464,0.6276758909225464,0.0,0.25,0.8138884902000427,0.8138884902000427,0.6276758909225464,viirs_only,,0.2625,single_source,True,False,0.5376308318318539,s2_original,0.9500000000000001
204,4,19,37.541391363484536,47.067973063532,,,,0.0,0.5513162612915039,0.5513162612915039,0.0,0.25,0.7080278396606445,0.7080278396606445,0.5513162612915039,viirs_only,,0.2625,single_source,True,False,0.46265793452580745,s2_original,0.9500000000000001
205,4,20,37.54797433166748,47.068056728538046,,,,0.0,0.496947169303894,0.496947169303894,0.0,0.25,0.6330333352088928,0.6330333352088928,0.496947169303894,viirs_only,,0.2625,single_source,True,False,0.41170083641440847,s2_original,0.9500000000000001
206,4,21,37.55455732932767,47.06814001528589,,,,0.0,0.4897201657295227,0.4897201657295227,0.0,0.25,0.6232622265815735,0.6232622265815735,0.4897201657295227,viirs_only,,0.2625,single_source,True,False,0.4050645163962309,s2_original,0.9500000000000001
207,4,22,37.561140356331705,47.0682229237712,,,,0.0,0.5195322036743164,0.5195322036743164,0.0,0.25,0.6636521816253662,0.6636521816253662,0.5195322036743164,viirs_only,,0.2625,single_source,True,False,0.43264257103793397,s2_original,0.9500000000000001
208,4,23,37.56772341254616,47.06830545398972,,,,0.0,0.5402268171310425,0.5402268171310425,0.0,0.25,0.6914836764335632,0.6914836764335632,0.5402268171310425,viirs_only,,0.2625,single_source,True,False,0.4521110629143101,s2_original,0.9500000000000001
209,4,24,37.57430649783762,47.068387605937176,,,,0.0,0.4961808621883392,0.4961808621883392,0.0,0.25,0.6311736106872559,0.6311736106872559,0.4961808621883392,viirs_only,,0.2625,single_source,True,False,0.4109956968804379,s2_original,0.9500000000000001
210,4,25,37.580889612072674,47.06846937960931,,,,0.0,0.4257469773292541,0.4257469773292541,0.0,0.25,0.5317083597183228,0.5317083597183228,0.4257469773292541,viirs_only,,0.2625,single_source,True,False,0.3476009291697885,s2_original,0.9500000000000001
211,4,26,37.58747275511789,47.06855077500192,,,,0.0,0.2999168932437897,0.2999168932437897,0.0,0.25,0.3492039144039154,0.3492039144039154,0.2999168932437897,viirs_only,,0.2625,single_source,True,False,0.2403709813560457,s2_original,0.9500000000000001
