grid_id,p_viirs_only_mean,p_viirs_only_sd,p_viirs_only_ci_2_5,p_viirs_only_ci_97_5
472,0.5386540656519344,0.0896659025685204,0.364876505764699,0.733125973722659
473,0.5510570366764412,0.09124501955903858,0.38557874790929947,0.7471177964371332
474,0.5643979493433703,0.09571370678305517,0.4012109214273679,0.7681075818192772
475,0.565976126273762,0.09627561896680012,0.4058456793765589,0.7741112076895058
476,0.5669864938296314,0.09745406399456176,0.399692512885341,0.7726666847580377
477,0.5688380864045564,0.09716155770622985,0.40685360558178413,0.7760672186425054
478,0.5674351443675293,0.09959011042882492,0.39678613601368895,0.7836742986039726
479,0.5679036871639697,0.09659868033407959,0.4023123319314845,0.7696764786817997
480,0.5723750369405625,0.0972192923280884,0.4072588991965363,0.7779563348162869
481,0.5701412966913172,0.09902145846422734,0.4000585244250437,0.7835869660292093
482,0.5684008024364795,0.09902678670136214,0.4016390558123872,0.7765037575624932
483,0.5677539508568734,0.09732637515116309,0.40276487691518925,0.7831209120108613
484,0.5617785739428515,0.09451914089712309,0.4001224213729016,0.7653127828802763
485,0.5595134458820974,0.09350110298485638,0.3936317844256812,0.755916719568716
486,0.5027399445867418,0.1120027350449719,0.2644843414648713,0.7430838594540966
487,0.5017505419524423,0.1110658704931774,0.26286297124659647,0.736127938000335
488,0.5060412117740735,0.11140203695981364,0.26807231998485836,0.7501820889000209
489,0.5020150480620873,0.1120408901435309,0.25954419696353676,0.7418453460419361
490,0.5033158188409389,0.11151923970487251,0.2581834977842214,0.7385667369920202
491,0.5659539323242014,0.09800897255049004,0.4011489408929205,0.7798304252912007
492,0.5028706058246692,0.11586889351318387,0.25546859587350046,0.7536317164186231
493,0.5620797077410001,0.0972789357469798,0.3873010516181393,0.7741209602556691
494,0.557083062474925,0.0944911758756068,0.3903929324111483,0.7587476262571357
495,0.5552801121221027,0.09073252994996539,0.3946307503629046,0.751412991990356
496,0.556261656284717,0.0939623674090306,0.3908469087693075,0.7635511539164886
497,0.559868637829493,0.09150717860635744,0.40311366625761386,0.7589748851369059
498,0.5664039179268675,0.09500688848406699,0.40507736536649147,0.7696459314374876
499,0.5649487371605573,0.09540397672021739,0.40017624446346145,0.7691836820766071
500,0.5343516757073964,0.0882957251982219,0.3622212847655923,0.7245114484723715
501,0.5372978345983335,0.09024194236113739,0.36912975816523036,0.7318154120019094
