grid_id,p_s2_only_mean,p_s2_only_sd,p_s2_only_ci_2_5,p_s2_only_ci_97_5
687,0.06515248768067083,0.059110423692450176,0.01626650174394725,0.2526449216176174
688,0.04847341932001741,0.03708546948670079,0.010257300956681554,0.1585753357459596
689,0.03068217620918793,0.019959326542807403,0.0033253633434011183,0.078901446265195
690,0.047098061503650486,0.03774001032313386,0.008741955890133914,0.14727288629319205
691,0.06287688890016087,0.05419956078985292,0.01592737237536868,0.22298152233118906
692,0.03794739468205551,0.025505845972762554,0.006094750049491399,0.10371266168710876
693,0.0661838210252406,0.057607646707413,0.01721141321168233,0.22693802287786954
694,0.08589892977498251,0.09194242278556168,0.018901047332922,0.39717820975306245
695,0.06845850274179371,0.06445196666608252,0.01665393965702672,0.2640547438475768
696,0.07248518862285479,0.066619442692968,0.018145439211223555,0.2768657578667335
697,0.05869356524239795,0.04864860316548188,0.01448240894517394,0.2009680643016014
698,0.059394996436810996,0.05833089988282265,0.014410040970549784,0.19566413881960537
699,0.04595162842164439,0.03246981737090408,0.010017856291225662,0.12832879963906962
700,0.11079930069227972,0.12075080582222676,0.02322212150708873,0.46051340756924514
701,0.12880325813271237,0.14655000171135948,0.025804994233888174,0.5763662998162339
702,0.07020751280647816,0.06586804556903333,0.018079062077024446,0.2570784699713164
703,0.09560550835540937,0.09759906045425498,0.02253747638337433,0.3897351543333951
704,0.1120430363080784,0.12337439342084774,0.024375841418511957,0.48816145526025617
705,0.06784092414285589,0.06408818988542801,0.015617486599120812,0.2688157748798002
706,0.04155937750686076,0.031363046096104095,0.007441801530617009,0.11781534338505034
707,0.042802184422840645,0.030075783432125837,0.009359910753599467,0.11936416834732784
708,0.03833017560231425,0.024207129531333707,0.006377856346568227,0.10195073995210631
709,0.03799294849349278,0.02568601270553192,0.007316552331102952,0.10435219384214713
710,0.03813877749849515,0.02381851290765138,0.007427696396707769,0.09842108592307887
711,0.03722326453157872,0.024072393412311884,0.007061674867808343,0.10249690244818457
712,0.03856143553740733,0.02494161542477773,0.007034983928933187,0.10382901197412228
713,0.04259037045497919,0.032594418106627686,0.008373236372785814,0.12097854773651248
714,0.036911661491668676,0.0251120352534869,0.00436990671063319,0.09791492744855514
715,0.03976566058118429,0.028018838441919342,0.006392619129237748,0.11448704862483033
716,0.036346614426831944,0.02619103603130115,0.005778278864734602,0.0948455680934471
717,0.04359098611308642,0.03218164851813854,0.009675052415752375,0.13726558474153377
718,0.038495988829170824,0.02623634369887735,0.00668388028636581,0.10376044918307818
719,0.037306639467386014,0.02542404505603414,0.0073954833846116156,0.10011535564847958
720,0.043885025159797024,0.03113962023393062,0.009579141479506729,0.12686590042544993
721,0.052089446190770446,0.04127973971399747,0.01180282111698471,0.16684566695993397
722,0.04423929314563041,0.031214338222492352,0.008856851273044091,0.12614116591569333
723,0.04230708339215654,0.028090964563694993,0.008563478528378512,0.12082123599973556
724,0.05190492432879604,0.044492315479183885,0.012629327737019394,0.16641426304828869
725,0.054040398162818054,0.044616002740803316,0.012122052792117382,0.17099814391757964
726,0.04464927912216277,0.0336947609712919,0.009037997879322298,0.13402128345541384
727,0.046565705532669206,0.0335047367093746,0.010206684775329801,0.13372085883509924
728,0.038232780608952785,0.025920082976730763,0.006506656902740248,0.10297117095241756
729,0.034655765290740444,0.022384431372507313,0.004866035373019207,0.09141716344391987
730,0.038718025683609464,0.02617064809629339,0.00644695625811517,0.10689340906904982
731,0.036634542358121996,0.02442400448805728,0.00602963260108262,0.09930379399656737
732,0.03846607123812365,0.025091394498343664,0.007364752652876556,0.1015116430420918
733,0.0583900483402425,0.050211605770310995,0.01422923223282082,0.20710993728954438
734,0.07680485075389813,0.07661530306948434,0.01871362331536471,0.3058189040150687
735,0.026244679468590493,0.017549128023683736,0.0014662047628560986,0.06311136356175386
736,0.03299994308077952,0.020512751006426293,0.004069567523318602,0.08460767902702757
737,0.037110310216824344,0.024567093171626937,0.006861775399835581,0.09785665770714307
738,0.042567122777027414,0.03120537671688764,0.0090929485753559,0.12434377653545925
739,0.07716467196810615,0.07284468107891252,0.01922712760600319,0.27818244996231917
740,0.06298872021868916,0.055875999197867,0.016861140857544348,0.22481315415007408
741,0.08914613799147507,0.09164423148628201,0.02073808956687362,0.350051364728965
742,0.05912096205798228,0.05175992959700879,0.014492304108973035,0.21353044553091766
743,0.04911516820829438,0.036577080681069164,0.010815325427209272,0.14605261506640863
744,0.07537379139966646,0.07072881938682034,0.01895393144389086,0.2798843701546708
745,0.03967765232971249,0.02666916292638644,0.006990256124740979,0.11250878589964232
746,0.0796737155011578,0.07897283749678315,0.019401703121991555,0.3251437226247927
747,0.0806354402132602,0.07828599354471641,0.02011985623636707,0.3018726511896586
748,0.07328620990708544,0.06916484882130358,0.018060734144084673,0.27198099269808496
749,0.0629512113717864,0.05453387700556569,0.017142268634693193,0.22114085042132148
750,0.07020305670841485,0.0630196813196406,0.01811732028713845,0.2553091456516116
751,0.03958329043888054,0.02623664727382115,0.008239506394874188,0.10833892953515985
752,0.03942807421481271,0.02713892024085471,0.00687507531324031,0.11381686382293575
753,0.04577572109119661,0.03415919897700309,0.010389535739389319,0.14118301882366735
754,0.04258083638416162,0.028746629890122465,0.009461679679193346,0.12024228824095841
755,0.036826836743477205,0.02510842326753921,0.006149131477150076,0.09835775970887208
756,0.04393060890873825,0.031592579401798986,0.009987221577528987,0.13283560284381818
757,0.05119470937489136,0.04408159889405286,0.011234960483462997,0.16519066698211615
758,0.054973809621126364,0.04663769861121872,0.01271611117998505,0.17836382846332885
759,0.044465532761207405,0.030085270028020684,0.01044941964619825,0.1252998539658641
760,0.03717912908536644,0.023130250670712803,0.006144735371131316,0.09647286075089456
761,0.03935893234414873,0.027952350477679317,0.006294457556933306,0.11238739101497568
762,0.044213782731790455,0.02945993098872633,0.008856823346650583,0.12489735779569991
763,0.036771342237355176,0.023317219714651394,0.006017536591029462,0.09656146047081866
764,0.0374129883041286,0.02390565264548854,0.006947568694471027,0.10143906501209941
765,0.03603631544970835,0.022933820499797475,0.0059417458000524444,0.09443655502534126
766,0.040034111906208605,0.028330589746397225,0.007962651052858209,0.1126880174741756
767,0.06126510010547542,0.055126815117181954,0.01222078784527375,0.2328063433632232
768,0.049397725905379664,0.042244488087870936,0.010769817578964615,0.16091831205271695
769,0.04497120219886054,0.034245543353544045,0.008891177508117635,0.13479351828250208
770,0.05174811521733027,0.04034997164149144,0.012093587561655496,0.16857665848400463
771,0.04740121609599881,0.035927834356835615,0.011480359784782297,0.14017440169919124
772,0.045897533637180604,0.03256479333305072,0.010292488539987954,0.13951254718038547
773,0.0449454604880344,0.033737765562044365,0.009526169217211588,0.14022921395189752
774,0.04277946435443235,0.03070263764853587,0.009215099475260148,0.1245172009421547
775,0.03681221645905462,0.023063108498935052,0.006011103544424458,0.09659379358776823
776,0.03717859313634286,0.023078397349296367,0.006783531898457728,0.09526553583050063
777,0.03867323671339019,0.026632019070792882,0.0061957358165462975,0.1183939364921472
778,0.04126505513302109,0.029090208943110707,0.007301884541125377,0.11687547447620389
779,0.04993675051822592,0.04220832897899483,0.01182544071665269,0.15707585357146134
780,0.04592099547280309,0.034015111992334174,0.010429086549755596,0.1339639803053738
781,0.022414194842568073,0.01632296479803363,0.0009041334743207592,0.0532717891234608
782,0.03209202636294065,0.0208856147498033,0.0046428383643759815,0.08158188759752229
783,0.031118481006279793,0.019887985516867056,0.004085636445239726,0.07631625474728912
784,0.07359243261782378,0.06849180809693209,0.01907819918433186,0.2819038665571792
785,0.08662907037363084,0.09876395229231504,0.0202131982665435,0.37133914246474276
786,0.09589473068814942,0.10446629447658455,0.021008194772015185,0.4338142551210253
787,0.08520068185029403,0.08781662582479889,0.02017547442148117,0.3456617044968205
788,0.06434576740754637,0.056680281687834295,0.016426201459480292,0.2337113759979964
789,0.06584085384947426,0.06253676932579116,0.015890934759455903,0.25220022535274744
790,0.09338941363086287,0.10184026890599533,0.021378829318212122,0.4096348217630799
791,0.07164621419252558,0.06843487952427826,0.01836526936181144,0.2792791818634064
792,0.12332404022567857,0.14066071446772477,0.024454301999664935,0.5836686744236694
793,0.11612812525828367,0.128386242611566,0.02362104617269123,0.5304409392363479
794,0.09095171037976142,0.09437720121385182,0.021497568098670403,0.38277164951487463
795,0.04659742425376522,0.03312410457793855,0.010394423048975315,0.1378698996052339
796,0.04630283801552881,0.03341041237092267,0.010411809310155121,0.13771611812923185
797,0.042098300134985764,0.02798649056349433,0.009906358645745062,0.11598472261515883
798,0.03910617015782349,0.02623540859490328,0.007712730804861029,0.1100617687131327
799,0.04254013889945062,0.02915013987473652,0.00899486738572699,0.12398599726032666
800,0.03926611282869045,0.02758967887448027,0.005116524710524359,0.11573769283392031
801,0.03874025157449991,0.025513021287871723,0.0066834635662511,0.10657324949397579
802,0.046419656342275885,0.034973332586543615,0.011104191207980176,0.13117796078087202
803,0.0436506889467707,0.03677649995102452,0.009040485336437453,0.12899223158350281
804,0.041968364789159336,0.029482766531550512,0.008569237404306524,0.12233384663058736
805,0.03847849991216503,0.024839498492825175,0.006900627564708639,0.10374188476338024
806,0.040964166931920676,0.035862746614035115,0.007139331102785443,0.12366011078084428
807,0.03824061032549963,0.026743404846895753,0.006816052443448783,0.10229916306136919
808,0.03578734447384331,0.02246695585167302,0.006260356771272084,0.0892385935149917
809,0.04049268366497751,0.02863304878639014,0.007529512036898316,0.11698905680602141
810,0.036415759306075136,0.024829114107316516,0.004861428515157681,0.10061108405516772
811,0.048047601007051056,0.03544889037523365,0.009901979195567682,0.14658875526573817
812,0.04179206096456883,0.029507066170520287,0.00843669631586181,0.11822364060832326
813,0.06091393764047628,0.05157259484461888,0.015911626511649072,0.2189674334939696
814,0.06686332065591145,0.06362622425231532,0.015620432027158054,0.2509566184836131
815,0.04778062630040912,0.037788819841792144,0.010574440986388368,0.15473169397944453
816,0.042089603390702474,0.028863843368919215,0.009121884322023068,0.12168610450753287
817,0.04620030118135888,0.034845404045798355,0.010341052079594399,0.1401751067745334
818,0.04451041791253419,0.03485493259260089,0.008637829950617966,0.14611838412997608
819,0.03748469132047583,0.02428730132197784,0.0068045750837006265,0.09776914238401913
820,0.0389347079157752,0.026250974762147564,0.007385900506128438,0.10669260381632595
821,0.03740577681684534,0.0241058476618042,0.0062204331753036544,0.0979013366500007
822,0.037147474408716484,0.025971893660369224,0.00696859056140776,0.10039762293277371
823,0.04509646550785462,0.03351630244902375,0.009278493157214802,0.13644544540579806
824,0.04553456186526209,0.030781057603711165,0.01095243704427473,0.13064181441841088
825,0.03995392669016693,0.026436488436060487,0.006846976305357275,0.11367419837632185
826,0.04806681139986319,0.037188466217164366,0.010079907154786141,0.14974773732712304
827,0.036442481836605436,0.023436144389316828,0.005871610855624477,0.09659951547822362
828,0.02696189537135777,0.017642270990070624,0.0025437711564687583,0.0642058435790763
829,0.03036500272644815,0.02025322730611743,0.0036588137965475644,0.07306839209595185
830,0.08524575881415632,0.08763908096267999,0.020498219822700545,0.3397258351862265
831,0.08091684644271271,0.07809398771397663,0.020424285942479605,0.32075141583573813
832,0.07669383419525222,0.07647688803325337,0.0180745777938832,0.3089325427162373
833,0.08834349896686601,0.09225291454993512,0.020747115258778228,0.39462321050476384
834,0.0799697337305364,0.0810149050311607,0.018392598605810447,0.3118349362349614
835,0.08304788734376911,0.07927568050945578,0.01990750312390898,0.32194205132160586
836,0.10560592448971146,0.11145412908782908,0.02229085988186919,0.4195236506012956
837,0.09748624713738872,0.09873692119190881,0.022049252185848512,0.38915791124676163
838,0.12706699715590475,0.14857758731459192,0.024188651949879722,0.5803321115473558
839,0.10496477807204221,0.11253719259272776,0.022819678831310378,0.43730779843769646
840,0.07362824445325779,0.07071019023799151,0.019502940122284148,0.3010618881623878
841,0.048093550825697155,0.03715242287525334,0.01042177472369805,0.14482460997702232
842,0.0376469525663296,0.026217610977058808,0.0056904150578101255,0.10656120924391228
843,0.04008753003697899,0.026623622511645184,0.007746862166646288,0.11109236064893827
844,0.04497286606738368,0.03203542008526227,0.008775567837890047,0.13586400206476357
845,0.04760307142036141,0.037620761249646355,0.009657127913991093,0.1565056513139381
846,0.03922937520109037,0.02866544060489084,0.006270968429027335,0.1075134976938745
847,0.040502803561150505,0.02990701464496365,0.007197331231967414,0.1196414376481609
848,0.054677924289573986,0.04693155182759724,0.012328959301030382,0.1955627386441552
849,0.04341181319230461,0.030963344857194045,0.009451588908614358,0.12707351124182373
850,0.037659029792904475,0.025878017917528234,0.005982672374509537,0.10361672341879886
851,0.042363781314934575,0.02975908241735633,0.007878967900432894,0.12137642948341192
852,0.044683660146807275,0.03048056712579809,0.008788156498375136,0.1289477644325088
853,0.036919611272664,0.024106292362591854,0.0060780210013066,0.09868289617877875
854,0.03624624902408229,0.02387678019000267,0.004525112976917875,0.09736736426685924
855,0.042073250052213094,0.02829223178584876,0.008885610742401694,0.11843961904232694
856,0.038155511468002605,0.024511578569747425,0.007342640843699375,0.10219978389299432
857,0.038865916140279566,0.02555981925817376,0.006966638791157439,0.10871636053743555
858,0.04486494110565737,0.03394533333310728,0.008624860932985567,0.13097346656371706
859,0.044079898578457045,0.03112278025494626,0.009034572301307208,0.13062287670292178
860,0.05929437227725814,0.048325836029166645,0.016439408644428645,0.19858938354970204
861,0.04169781311790247,0.028647634606673928,0.007820488966722548,0.11491522921239829
862,0.04462910237882165,0.03085628682087233,0.009610024202894939,0.12454174007250658
863,0.040389145424411334,0.02678675392343619,0.008482197897348212,0.10578388836247103
864,0.05324637505374052,0.041287568089573116,0.011808991898024307,0.18098700611672258
865,0.04076082505817889,0.02827326969759105,0.007629067827720337,0.11510789310995008
866,0.03073305287906952,0.018979437491816024,0.0036625721683751326,0.07532850056796567
867,0.0410324243285211,0.0271905300436328,0.007966567664841133,0.11809536668155926
868,0.03728151449715135,0.02360217636517442,0.007295381619528574,0.09826338538826136
869,0.046009965074063464,0.03279329858653398,0.010436700680652517,0.1292112092379666
870,0.0643710503746152,0.06458918007522557,0.0157480673657535,0.23606462118302426
871,0.04370099353508785,0.03341730325406929,0.008964361972059643,0.13000512511945517
872,0.022230618136987835,0.01656158214344743,0.0010370299817379358,0.05693522405183411
873,0.028534498978936798,0.017819579198762786,0.0027651471052500434,0.06708485448337269
874,0.023951053947291443,0.016802225229383502,0.0013511205549350351,0.05602565814682781
875,0.03689004044919569,0.02352483393401657,0.006737514513845693,0.09311645144035603
876,0.0762329692048626,0.07840433941305397,0.01782480754657286,0.3194205586366908
877,0.06273784394601374,0.058211722430854096,0.015465083837268263,0.2234917584500992
878,0.04905028558446799,0.03539719961408424,0.012089748863741962,0.14836220164020208
879,0.0966983671332078,0.11270817807610986,0.022559322486642757,0.4367330113524578
880,0.08217031684727835,0.08490902612672846,0.019333437129721756,0.334739579336107
881,0.08388281290775865,0.0860586622087705,0.020695463303880963,0.34676009106070876
882,0.09878469196070754,0.10463261089762455,0.022760322343818376,0.4144572480257512
883,0.10653849498623486,0.11609019449819885,0.023465355097473665,0.4677438922312527
884,0.08781030308128848,0.09690980607149143,0.01941722249343361,0.42307107002801875
885,0.06812666538255938,0.06159951852707971,0.01671496068693175,0.24759915640350122
886,0.08233784504996661,0.08522034932578866,0.0191993648105183,0.36772521929270313
887,0.06821696959429714,0.06521050359840808,0.016293788974468704,0.24746855325557585
888,0.03758777566137106,0.024589218741291993,0.006125854355852416,0.1025071241561207
