grid_id,resid_s2,resid_viirs,theta_mean
87,,-1.1276625335823651,-1.702660094685245
88,,-2.1082212218982654,-1.711920974743297
89,,-1.6549252642467736,-1.7094201419957893
90,,-1.2184886226201634,-1.7048693438217122
91,,-1.0789414045344103,-1.7025653672653183
92,,-1.1124264630698117,-1.7040348143972919
93,,-1.2429699893517985,-1.705497536842301
94,-4.767787086883398,-2.675500122842704,-1.7184277685572018
95,-14.98509217628838,-2.9387986596579965,-1.7306105704034531
96,0.1635786489126283,-2.2621392207816102,-1.7119359430986167
97,2.2850222242139315,-1.2243557954951645,-1.7037977159384505
98,-1.4272947716811677,-0.241767973624307,-1.697531818126715
99,-2.621458663560215,-0.26327252885160585,-1.6992574906380684
100,2.210525562341905,-0.583121726014663,-1.6971431227339344
101,4.319738907971483,0.3642718098151919,-1.688403144067218
102,2.6413091052200244,0.8444936947501785,-1.6870671294784538
103,-1.4619443314917588,0.8576866126449768,-1.6910982951526743
104,-1.0242768331027987,0.8969097114914165,-1.6902660959978797
105,-0.3065575189710992,0.9407991638720788,-1.6896381962598928
106,0.49397677370118576,0.9950896939984633,-1.6865309656652039
107,-0.8334601653204476,1.0062624205852633,-1.6881555669501134
108,,0.9214422912660775,-1.687673808320265
109,,0.46095374381496623,-1.6905816269041114
110,,0.43147356194851655,-1.6915656534565937
111,,0.41223393374220185,-1.6939332610515883
112,,0.22967208131822217,-1.693251902419668
113,,-0.014825238070241695,-1.6968059633914896
114,,-0.3736086622356912,-1.698281482811031
115,,-0.46788651089030003,-1.6986038513453172
116,,-0.3920347967599284,-1.6999651321371922
117,,-0.6195842056827237,-1.700216193967812
118,,-0.8005064762238452,-1.7015799646953225
119,,-1.041871635027676,-1.7000137635425423
120,,-0.3339812784914373,-1.6979255157269353
121,,-0.25086018763225504,-1.6985298507825624
122,,-0.8332792608576921,-1.7002238502010574
123,,-1.1039647994758266,-1.703600050079626
124,,-0.8890193801106452,-1.7032560801117138
125,,-0.12542207969180175,-1.6963343700628182
126,,-1.0237867271897454,-1.7025466327296352
127,,-0.7812046368288316,-1.6996257113213578
128,,-0.5337419669094328,-1.6979043160071028
129,,-0.9587360405012061,-1.701815124705747
130,,-1.3550346378603548,-1.7060088492773888
131,,-1.3005778779251937,-1.7061852809244014
132,,-1.3818099012583043,-1.707070552784682
133,,-1.7598603167685591,-1.7086948555347117
134,,-2.4419419238818456,-1.714702584922735
135,,-1.9388296884012752,-1.7102908265343395
136,,-1.2048627243634225,-1.7052648977102196
137,,-1.3969956629955713,-1.7056003323614457
138,,-1.846356649926413,-1.708675754920306
139,,-1.4801587343565272,-1.7047158135223317
140,2.4820354775911513,-1.456173711703628,-1.7051025399018072
141,1.8736532451601726,-2.5666920492488368,-1.7145773356143867
142,2.2993983219957213,-2.974620824358216,-1.7161951356133707
143,-0.6993924526259985,-2.3248777787630037,-1.7127955626086295
144,-4.026735948710419,-0.8454552499740108,-1.7043810622562456
145,-0.7985124335123892,-0.02949012595130006,-1.6947598315175278
146,2.0777497773447378,-0.021848547124614648,-1.6929452118487263
147,1.4702817379545892,0.5011705828037836,-1.6886663357171294
148,-2.3144094624427245,0.9442193792950785,-1.6896887328960337
149,-1.2191629281226897,0.9270675757588165,-1.6883393884741913
150,-1.2020135880588656,0.9554617961439501,-1.687705620931252
151,-0.30541726705537986,0.8455377887846129,-1.6895628965545897
152,0.0625536540540148,0.8929637814567185,-1.6903074322783862
153,-0.9597930083052244,0.9347468360355873,-1.6892858705951441
154,-0.36475822051601314,0.9511396230556365,-1.6879333576261997
155,,0.5573151850533089,-1.6899442687509594
156,,0.46488501065756876,-1.6905022035765584
157,,0.3732619568808201,-1.692352848026602
158,,0.07727522817420318,-1.6949819670460249
159,,-0.16426957502542705,-1.695374144592937
160,,-0.22173216304828336,-1.6970539356416403
161,,-0.017368282191265082,-1.695372652989691
162,,-0.11445138437590442,-1.6951905251778268
163,,-0.6560093624511081,-1.6998918805322965
164,,-0.6262820884165429,-1.7003946937596537
165,,-1.23100500763182,-1.7043371123729052
166,,-1.0181053843411365,-1.704528557232847
167,,-1.029146321878253,-1.7019926580328417
168,,-0.971007980194728,-1.7030947632100284
169,,-1.3735619849340979,-1.7076837177046211
170,,-1.0218820257691095,-1.7025644929008863
171,,-0.33583006051635933,-1.6989832548401356
172,,,-1.6944857346773843
173,,,-1.6938876553892115
174,,-0.4801143792593156,-1.6988828597868
175,,-0.9311173629515224,-1.7018070445253966
176,,-1.388651412979776,-1.707971757676246
177,,-1.30854872402178,-1.7044485756264491
178,,-1.2915019327009336,-1.7041680661876613
179,,-1.757285559586311,-1.70815782143405
180,,-1.311461363159147,-1.7040570343183277
181,,-1.0244775824705543,-1.7026961366027682
182,,-0.9984613035898462,-1.699590216840877
183,,-1.835582071583402,-1.7106321693680824
184,,-1.8856740413259918,-1.708961484068114
185,,-0.5761345568567322,-1.6994259081707335
186,2.7750691624644834,-0.995882447617308,-1.7019501450821617
187,2.4816296332609578,-1.6299045074363876,-1.7049526818999832
188,0.8118421120586214,-2.147620345809112,-1.7107820079801603
189,-0.7607519703097787,-1.7482761515990213,-1.7095693510759526
190,0.37565155583585685,-1.2311361937784944,-1.7054511481008947
191,0.45071563023486627,-0.6829802470340255,-1.7012520725781768
192,-0.11137939007615616,-0.32872577907353356,-1.697583662025177
193,0.8091836503820131,0.14302349594941569,-1.6935494529952773
194,-0.7744463502917802,0.665425758241251,-1.6920247583104582
195,-0.3170208605738374,0.8139178864314045,-1.6883131554445066
196,0.5008036733790111,0.9123241165248056,-1.688633184579651
197,-0.3312786959652274,0.7447216898225943,-1.6888849448836178
198,-0.5284282717394961,0.8165566772216599,-1.6914109305781275
199,-0.2046131008036598,0.8640253010041459,-1.68872802983358
200,-0.7714961488075289,0.9132310719557943,-1.6900750634869597
201,-15.014283185794355,0.7667502845674634,-1.7014195608974778
202,,0.654574776343612,-1.6909026937084495
203,,0.5087031848843877,-1.6914219720643686
204,,0.19378907779741764,-1.6927767150571613
205,,-0.020239904956968917,-1.6969495568337614
206,,-0.047989959292270984,-1.6981131602342079
207,,0.06737043850661924,-1.6941798323906043
208,,0.15269547490945298,-1.696417666235354
209,,-0.024881497336884217,-1.6953733382752654
210,,-0.3066792647876772,-1.6975236078326679
211,,-0.8504374318297864,-1.7022341936067926
212,,-0.9870597936780001,-1.7018214844545598
213,,-1.0958274910092556,-1.7039336322689753
214,,-0.5951957792213604,-1.6997350548346484
215,,-0.7750182707566515,-1.700382378157259
216,,-0.8364546777475955,-1.7016254321096753
217,,,-1.69632457058158
218,,,-1.6979832507309358
219,,,-1.6967987633784123
220,,-0.7629697931416098,-1.7003795083305249
221,,-1.2668232463207452,-1.706820632242669
222,,-1.9901830101432758,-1.7082814428200825
223,,-1.3168830283471642,-1.7056311161362052
224,,-1.5555259901120173,-1.7086796036469059
